ibge_mun,iso_year,iso_week,precip_tot,temp_mean,temp_min,temp_max,umid_mean,vento_velocidade_horaria_m_s_mean,n_stations,sem_not,cases
120030,2024,41,6.0,24.5875,16.6,35.1,69.34065934065934,1.7333333333333334,1.0,,0.0
120030,2024,44,21.4,25.831944444444446,22.7,33.7,90.69444444444444,1.2875,1.0,,0.0
120030,2024,45,0.0,25.416666666666668,15.0,35.3,80.63888888888889,1.230952380952381,1.0,,0.0
120030,2024,46,8.4,26.208333333333332,22.7,31.0,70.76,1.4708333333333332,1.0,,0.0
120030,2024,48,19.6,25.099999999999998,23.5,29.1,93.79166666666667,1.4791666666666667,1.0,,0.0
120030,2024,49,39.4,25.770238095238092,18.1,33.5,84.0125,1.3595238095238096,1.0,,0.0
120030,2024,50,0.0,27.396874999999998,23.0,35.2,69.78260869565217,1.4479166666666667,1.0,,0.0
120035,2024,1,0.0,,,,,,1.0,,0.0
120035,2024,2,0.0,,,,,,1.0,,0.0
120035,2024,5,0.0,,,,,,1.0,,0.0
120035,2024,6,0.0,,,,,,1.0,,0.0
120035,2024,7,0.0,,,,,,1.0,,0.0
120035,2024,9,0.0,,,,,,1.0,,0.0
120035,2024,10,0.0,,,,,,1.0,,0.0
120035,2024,11,0.0,,,,,,1.0,,0.0
120035,2024,14,0.0,,,,,,1.0,,0.0
120035,2024,15,0.0,,,,,,1.0,,0.0
120035,2024,18,0.0,,,,,,1.0,,0.0
120035,2024,19,0.0,,,,,,1.0,,0.0
120035,2024,22,0.0,,,,,,1.0,,0.0
120035,2024,23,0.0,,,,,,1.0,,0.0
120035,2024,24,0.0,,,,,,1.0,,0.0
120035,2024,27,0.0,,,,,,1.0,,0.0
120035,2024,28,0.0,,,,,,1.0,,0.0
120035,2024,31,0.0,,,,,,1.0,,0.0
120035,2024,32,0.0,,,,,,1.0,,0.0
120035,2024,33,0.0,,,,,,1.0,,0.0
120035,2024,35,0.0,,,,,,1.0,,0.0
120035,2024,36,0.0,,,,,,1.0,,0.0
120035,2024,37,0.0,,,,,,1.0,,0.0
120035,2024,40,0.0,,,,,,1.0,,0.0
120035,2024,41,0.0,,,,,,1.0,,0.0
120035,2024,44,0.0,,,,,,1.0,,0.0
120035,2024,45,0.0,,,,,,1.0,,0.0
120035,2024,46,0.0,,,,,,1.0,,0.0
120035,2024,48,0.0,,,,,,1.0,,0.0
120035,2024,49,0.0,,,,,,1.0,,0.0
120035,2024,50,0.0,,,,,,1.0,,0.0
120039,2024,1,0.0,,,,,,1.0,,0.0
120039,2024,2,0.0,,,,,,1.0,,0.0
120039,2024,5,0.0,,,,,,1.0,,0.0
120039,2024,6,0.0,,,,,,1.0,,0.0
120039,2024,7,0.0,,,,,,1.0,,0.0
120039,2024,9,0.0,,,,,,1.0,,0.0
120039,2024,10,0.0,,,,,,1.0,,0.0
120039,2024,11,0.0,,,,,,1.0,,0.0
120039,2024,14,0.0,,,,,,1.0,,0.0
120039,2024,15,0.0,,,,,,1.0,,0.0
120039,2024,18,0.0,,,,,,1.0,,0.0
120039,2024,19,0.0,,,,,,1.0,,0.0
120039,2024,22,0.0,,,,,,1.0,,0.0
120039,2024,23,0.0,,,,,,1.0,,0.0
120039,2024,24,0.0,,,,,,1.0,,0.0
120039,2024,27,0.0,,,,,,1.0,,0.0
120039,2024,28,0.0,,,,,,1.0,,0.0
120039,2024,31,0.0,,,,,,1.0,,0.0
120039,2024,32,0.0,,,,,,1.0,,0.0
120039,2024,33,0.0,,,,,,1.0,,0.0
120039,2024,35,0.0,,,,,,1.0,,0.0
120039,2024,36,0.0,,,,,,1.0,,0.0
120039,2024,37,0.0,,,,,,1.0,,0.0
120039,2024,40,0.0,,,,,,1.0,,0.0
120039,2024,41,0.0,,,,,,1.0,,0.0
120039,2024,44,0.0,,,,,,1.0,,0.0
120039,2024,45,0.0,,,,,,1.0,,0.0
120039,2024,46,0.0,,,,,,1.0,,0.0
120039,2024,48,0.0,,,,,,1.0,,0.0
120039,2024,49,0.0,,,,,,1.0,,0.0
120039,2024,50,0.0,,,,,,1.0,,0.0
120040,2024,1,32.6,24.763690476190476,15.7,33.2,84.22619047619048,0.65,1.0,,0.0
120040,2024,2,5.0,27.572499999999998,19.3,36.2,71.58333333333333,0.6633333333333333,1.0,,0.0
120040,2024,5,1.0,26.744791666666668,23.1,33.0,82.90625,0.56875,1.0,,0.0
120040,2024,6,0.0,26.40357142857143,16.7,37.5,71.88690476190476,0.7613095238095239,1.0,,0.0
120040,2024,7,1.8,28.34583333333333,25.0,33.2,75.75,1.0333333333333334,1.0,,0.0
120040,2024,9,7.2,27.144444444444446,22.9,34.4,81.36111111111111,0.6069444444444445,1.0,,0.0
120040,2024,10,26.0,26.719047619047622,18.4,38.4,75.21428571428571,0.49523809523809526,1.0,,0.0
120040,2024,11,0.0,27.089583333333334,23.3,33.1,76.64583333333333,0.81875,1.0,,0.0
120040,2024,14,125.2,25.708928571428572,19.9,33.6,84.79166666666667,0.5946428571428571,1.0,,0.0
120040,2024,15,55.6,26.973333333333336,22.0,36.5,74.91666666666667,0.6283333333333334,1.0,,0.0
120040,2024,18,4.2,26.533333333333335,22.5,34.0,83.45,0.46499999999999997,1.0,,0.0
120040,2024,19,36.800000000000004,26.37202380952381,20.1,34.5,78.08928571428571,0.48154761904761906,1.0,,0.0
120040,2024,22,4.8,25.87291666666667,23.6,31.6,86.66666666666667,0.5166666666666667,1.0,,0.0
120040,2024,23,119.8,25.913690476190474,19.4,33.3,81.66071428571429,0.5470238095238096,1.0,,0.0
120040,2024,24,33.2,26.73888888888889,23.3,36.7,81.94444444444444,0.5513888888888889,1.0,,0.0
120040,2024,27,15.6,26.126785714285717,20.3,33.3,83.75,0.5160714285714286,1.0,,0.0
120040,2024,28,25.2,26.270833333333332,19.1,36.3,77.20833333333333,0.6983333333333334,1.0,,0.0
120040,2024,31,2.4,27.210638297872343,23.1,34.6,80.92553191489361,0.6351063829787235,1.0,,0.0
120040,2024,32,22.4,26.508333333333333,20.3,35.3,77.9047619047619,0.5119047619047619,1.0,,0.0
120040,2024,33,5.0,24.59583333333333,22.7,28.1,88.95833333333333,0.6666666666666666,1.0,,0.0
120040,2024,35,0.8,26.920833333333334,24.8,30.3,82.75,1.0541666666666667,1.0,,0.0
120040,2024,36,0.2,25.464285714285715,14.5,33.9,80.17857142857143,0.7482142857142857,1.0,,0.0
120040,2024,37,11.2,26.26595744680851,22.4,36.6,80.31914893617021,0.5968085106382979,1.0,,0.0
120040,2024,40,42.6,26.87152777777778,22.4,32.7,83.73611111111111,0.6472222222222223,1.0,,0.0
120040,2024,41,0.2,24.359722222222224,14.3,36.4,73.92361111111111,0.7868055555555555,1.0,,0.0
